GameId,PlayerId,BackPostPass,BlockedShot,Goal,GoalAssist,OffTargetShot,OnTargetShot,PlayerOff,playerOn,SavedShot,SuccessfulDribbling,SuccessfulInterception,SuccessfulPass,SuccessfulTackle,UnsuccessfulDribbling,UnsuccessfulInterception,UnsuccessfulPass,UnsuccessfulTackle,PlayerAttackingScore,PlayerDefendingScore,PlayerTeamPlayScore,PlayerTotalScore
350,1,0,0,1,0,2,4,3,3,3,1,0,19,3,1,0,12,3,210,120,450,1210
242,1,0,1,1,0,1,2,3,3,1,5,6,19,4,1,0,3,3,360,420,540,1320
241,1,1,0,0,0,2,1,2,2,1,0,3,11,3,2,1,2,3,70,230,310,610
244,1,2,0,0,0,0,4,3,3,4,4,3,18,7,1,2,2,1,510,500,520,1530
236,1,1,0,1,0,1,2,3,3,1,4,0,14,3,2,0,2,1,430,160,400,990
243,1,2,0,2,1,3,2,2,3,0,7,1,10,3,1,2,2,0,990,200,280,1470
252,1,0,0,0,1,2,1,3,3,1,2,5,20,2,5,1,2,1,90,290,580,960
353,1,0,0,0,0,1,2,4,4,2,4,3,17,3,3,1,5,2,140,250,460,850
238,1,0,0,0,0,1,1,2,3,1,6,2,11,2,3,1,4,3,220,130,290,640
250,1,0,0,1,0,3,2,3,3,1,6,2,23,0,2,0,2,2,380,40,670,1090
249,1,1,1,0,0,0,0,3,3,0,5,2,20,2,3,0,8,9,270,20,520,810
240,1,0,0,2,0,1,3,2,3,1,1,0,20,1,0,0,4,1,360,40,560,960
251,1,0,2,0,1,0,2,3,3,2,3,5,15,3,2,1,5,1,230,350,400,980
253,1,0,0,0,1,0,1,3,3,1,5,5,17,4,4,0,7,2,290,400,440,1130
254,1,0,0,1,2,2,1,2,2,0,4,5,26,1,2,0,4,0,550,260,740,1550
239,1,0,0,1,0,0,3,3,3,2,5,4,23,3,4,1,5,0,320,330,640,1290
248,1,0,2,0,1,2,1,3,3,1,1,1,13,2,2,0,0,0,90,160,390,640
237,1,0,0,0,0,1,1,3,3,1,4,1,12,5,3,0,5,10,120,140,310,570
436,1,2,0,1,1,0,1,4,4,0,2,0,40,3,0,0,4,3,650,120,1160,1930
437,1,1,0,0,0,1,1,4,4,1,3,0,15,3,4,0,8,4,170,100,370,640
438,1,0,2,0,0,1,1,4,4,1,1,0,19,1,4,0,5,0,-100,60,520,480
489,1,0,2,0,0,2,0,3,3,0,5,0,24,6,3,1,4,2,100,310,680,1090
507,1,0,0,1,1,0,1,3,3,0,1,2,23,2,2,0,8,1,280,180,610,1070
512,1,1,0,1,0,0,1,2,2,0,4,0,21,5,2,0,6,6,420,180,570,1170
534,1,1,2,1,1,1,2,2,2,1,1,3,23,2,2,1,4,4,380,150,650,1180
538,1,1,0,0,1,1,1,3,3,1,4,4,13,2,2,2,6,1,420,240,330,990
548,1,0,0,0,0,2,1,3,3,1,1,4,15,2,1,2,3,4,20,180,420,620
567,1,0,0,0,0,0,0,2,2,0,4,9,14,4,3,2,5,0,110,580,370,1060
350,2,0,0,1,0,3,2,4,4,1,6,1,12,3,2,2,7,3,380,140,290,810
241,2,0,1,3,1,0,7,3,3,4,1,1,13,1,3,0,1,2,610,60,380,1050
242,2,0,0,1,0,2,2,3,3,1,7,2,12,2,6,2,3,1,320,160,330,810
244,2,0,0,2,0,1,3,3,3,1,1,2,6,5,1,0,2,1,330,360,160,850
246,2,0,2,1,1,2,3,3,3,2,3,1,6,2,2,0,2,2,360,120,160,640
247,2,2,0,1,1,3,3,3,3,2,5,2,14,4,7,0,1,1,600,300,410,1310
236,2,0,1,0,1,3,0,3,3,0,1,0,8,1,2,0,2,2,80,20,220,320
243,2,0,3,2,1,1,4,2,3,2,5,2,8,0,5,1,0,3,510,10,240,760
252,2,1,1,0,0,0,3,3,3,3,0,4,10,2,0,0,3,1,170,260,270,700
353,2,0,2,1,1,1,3,4,4,2,4,3,12,2,2,0,3,0,420,240,330,990
238,2,0,0,0,0,2,1,4,3,1,2,4,16,3,3,0,4,1,10,320,440,770
250,2,0,0,4,0,0,5,3,3,1,6,5,13,1,1,0,6,1,890,240,330,1460
249,2,2,0,0,0,0,1,3,3,1,3,0,18,1,1,0,4,4,400,-20,500,880
240,2,0,1,2,2,1,4,2,3,2,7,0,12,4,1,1,5,1,910,210,310,1430
